Canton,Commune,Language,Residents,Population density per km²,0-19 years,20-64 years,65 years or over,Private households,Surface area in km²,Settlement area,Agricultural area,Wooded area,Unproductive area,East coordinate,North coordinate,Elevation
BE,Seehof,de,58,6.888361045,15.51724138,62.06896552,22.4137931,23,8.42,2.25921522,33.29369798,63.85255648,0.594530321,2606200,1239300,924
BE,Sorvilier,fr,283,41.01449275,19.78798587,59.71731449,20.49469965,128,6.9,3.483309144,46.15384615,49.20174165,1.161103048,2589900,1232000,815
BE,Tavannes,fr,3586,242.6251691,22.08588957,61.43335192,16.48075851,1648,14.78,10.81081081,48.17567568,40.94594595,0.067567568,2581800,1230000,864
BE,Rebévelier,de,41,11.54929577,29.26829268,46.34146341,24.3902439,16,3.55,0.564971751,59.88700565,39.5480226,0,2580000,1237500,990
BE,Petit-Val,fr,426,17.82426778,23.94366197,58.45070423,17.6056338,164,23.9,2.225020991,44.45843829,52.77078086,0.545759866,2585200,1235900,942
BE,Valbirse,fr,3975,212.7944325,20.20125786,57.81132075,21.98742138,1764,18.68,9.7170315,45.43513081,44.68766684,0.160170849,2587300,1231900,875
BE,La Neuveville,fr,3739,551.4749263,18.34715164,59.66836052,21.98448783,1758,6.78,18.23529412,18.67647059,62.79411765,0.294117647,2573800,1212600,660
BE,Nods,fr,765,28.74859076,21.69934641,61.4379085,16.8627451,318,26.61,3.007518797,44.96240602,51.69172932,0.338345865,2572800,1218100,1099
BE,Plateau de Diesse,fr,2048,80.15655577,20.99609375,58.59375,20.41015625,857,25.55,6.908665105,48.79000781,44.18423107,0.117096019,2576600,1216500,889
BE,Aegerten,de,2159,999.537037,19.36081519,57.85085688,22.78832793,978,2.16,28.7037037,37.5,27.77777778,6.018518519,2588600,1219000,434
BE,Bellmund,de,1689,445.646438,22.91296625,58.79218472,18.29484902,674,3.79,14.92146597,51.83246073,32.98429319,0.261780105,2585300,1217200,506
BE,Brügg,de,4390,878,20.41002278,58.35990888,21.23006834,2060,5,34.26294821,29.88047809,31.67330677,4.183266932,2588200,1219200,449
BE,Bühl,de,464,156.2289562,16.1637931,64.65517241,19.18103448,216,2.97,7.432432432,88.51351351,3.378378378,0.675675676,2585300,1213200,443
BE,Epsach,de,317,92.96187683,19.87381703,62.77602524,17.35015773,120,3.41,6.194690266,77.87610619,14.15929204,1.769911504,2583400,1213200,469
BE,Hagneck,de,413,224.4565217,16.22276029,62.71186441,21.0653753,180,1.84,13.51351351,64.86486486,13.51351351,8.108108108,2580900,1211800,438
BE,Hermrigen,de,322,94.15204678,18.01242236,56.52173913,25.46583851,136,3.42,7.536231884,50.43478261,41.73913043,0.289855073,2585200,1214500,491
BE,Jens,de,659,143.8864629,19.42336874,59.18057663,21.39605463,276,4.58,7.359307359,69.91341991,22.51082251,0.216450217,2586600,1216300,440
BE,Ipsach,de,3987,2098.421053,18.73589165,57.03536494,24.22874342,1819,1.9,50.79365079,44.97354497,3.703703704,0.529100529,2584500,1218400,435
BE,Ligerz,de,544,303.9106145,18.19852941,54.96323529,26.83823529,260,1.79,13.14285714,32,52,2.857142857,2577100,1214900,592
BE,Merzligen,de,393,170.8695652,17.30279898,52.67175573,30.02544529,177,2.3,10.61946903,72.12389381,16.81415929,0.442477876,2585800,1215100,460
BE,Mörigen,de,879,406.9444444,16.60978385,56.99658703,26.39362912,377,2.16,21.36363636,58.63636364,17.72727273,2.272727273,2582900,1214900,487
BE,Nidau,de,6823,4488.815789,18.37901216,57.86311007,23.75787777,3367,1.52,84.31372549,0,3.921568628,11.76470588,2584900,1219300,432
BE,Orpund,de,2800,705.2896725,18.39285714,57.92857143,23.67857143,1279,3.97,20.81218274,39.08629442,37.30964467,2.791878173,2590000,1220900,448
BE,Port,de,3695,1502.03252,18.61975643,57.10419486,24.27604871,1653,2.46,40.74074074,25.51440329,30.04115226,3.703703704,2586100,1218400,456
BE,Safnern,de,1928,343.0604982,20.28008299,57.36514523,22.35477178,847,5.62,17.73049645,43.43971631,33.68794326,5.141843972,2591300,1222100,468
BE,Scheuren,de,448,212.3222749,20.53571429,61.16071429,18.30357143,191,2.11,10.47619048,54.76190476,26.66666667,8.095238095,2590800,1220300,431
BE,Schwadernau,de,662,159.5180723,21.75226586,58.6102719,19.63746224,273,4.15,10.26894866,74.57212714,14.42542787,0.733496333,2590000,1219800,432
BE,Studen (BE),de,3326,1218.315018,21.7979555,59.68129886,18.52074564,1438,2.73,42.75362319,38.76811594,17.75362319,0.724637681,2589300,1218400,434
BE,Sutz-Lattrigen,de,1395,390.7563025,21.29032258,58.2078853,20.50179211,594,3.57,21.62921348,44.94382022,32.30337079,1.123595506,2583300,1216800,451
BE,Täuffelen,de,2872,657.208238,19.39415042,54.17827298,26.4275766,1283,4.37,23.50230415,60.82949309,10.36866359,5.299539171,2581900,1212900,450
BE,Walperswil,de,1043,149.8563218,21.38063279,60.97794823,17.64141898,436,6.96,9.428571429,76.42857143,7.571428571,6.571428571,2584000,1212100,442
BE,Worben,de,2287,828.6231884,19.19545256,58.11106253,22.69348491,1026,2.76,28.88888889,62.96296296,7.407407407,0.740740741,2588700,1216300,436
BE,Twann-Tüscherz,de,1160,94.07948094,13.70689655,59.31034483,26.98275862,579,12.33,8.204711617,24.12672624,65.31275386,2.355808286,2578600,1215900,688
BE,Därstetten,de,849,25.85261876,19.55241461,60.42402827,20.02355713,359,32.84,2.678843227,46.14916286,39.9695586,11.20243531,2604100,1167600,1352
BE,Diemtigen,de,2250,17.31568416,21.06666667,58.08888889,20.84444444,975,129.94,1.746153846,48.01538462,30.37692308,19.86153846,2609700,1166400,1584
BE,Erlenbach im Simmental,de,1746,47.58789861,18.04123711,59.62199313,22.33676976,798,36.69,3.463321516,50.61358058,37.96018544,7.962912463,2608700,1167800,1352
BE,Oberwil im Simmental,de,808,17.54233608,18.93564356,54.7029703,26.36138614,358,46.06,2.52668264,51.53561316,33.78348944,12.15421477,2599600,1167300,1418
BE,Reutigen,de,999,88.4853853,19.01901902,60.16016016,20.82082082,454,11.29,4.521276596,46.80851064,45.39007092,3.280141844,2613900,1171500,761
BE,Spiez,de,12812,767.1856287,16.88261005,58.96815485,24.14923509,5976,16.69,31.440526,35.92349074,29.76688583,2.86909743,2618600,1170600,631
BE,Wimmis,de,2537,113.5123043,21.40323216,59.5585337,19.03823413,1111,22.35,7.654431513,28.96150403,46.9561325,16.42793196,2615500,1169500,868
BE,Stocken-Höfen,de,1016,71.44866385,21.06299213,63.58267717,15.35433071,435,14.22,4.424157303,45.50561798,38.41292135,11.65730337,2608900,1174000,732
BE,Guttannen,de,263,1.309434902,15.58935361,50.95057034,33.46007605,117,200.85,0.487950607,3.813981279,9.345747859,86.35232025,2665200,1167600,2446
BE,Hasliberg,de,1164,27.88691902,24.48453608,49.91408935,25.60137457,469,41.74,3.233532934,52.5988024,32.04790419,12.11976048,2656300,1177900,1608
BE,Innertkirchen,de,1063,4.492624995,18.34430856,57.855127,23.80056444,484,236.61,0.706011668,12.00642597,18.47044897,68.81711338,2660400,1173000,2192
BE,Meiringen,de,4622,113.7583067,18.3037646,60.06057984,21.63565556,2174,40.63,7.474797148,43.66855176,32.55470863,16.30194246,2657200,1175400,1053
BE,Schattenhalb,de,552,17.50158529,17.93478261,58.33333333,23.73188406,260,31.54,2.187004754,26.65610143,39.33438986,31.82250396,2657600,1174300,1593
BE,Boltigen,de,1263,16.38769949,17.49802059,56.7695962,25.73238321,551,77.07,2.413077322,52.94499222,35.40477426,9.237156201,2596500,1164200,1456
BE,Lenk,de,2345,19.07124268,18.50746269,57.91044776,23.58208955,1078,123.09,1.950109694,36.36954579,23.13317624,38.54716828,2600300,1145100,1836
BE,St. Stephan,de,1339,21.99047463,19.26811053,57.1321882,23.59970127,588,60.89,2.431810713,50.7065396,31.56424581,15.29740388,2596700,1150900,1633
BE,Zweisimmen,de,3018,41.34246575,16.66666667,57.02451955,26.30881378,1357,73,3.404429861,54.85370522,33.71616079,8.025704129,2594900,1155900,1529
BE,Gsteig,de,978,15.67056561,17.2801636,64.5194274,18.200409,478,62.43,1.361743031,37.10349247,36.19032361,25.34444088,2586800,1137100,1653
BE,Lauenen,de,827,14.13916909,21.28174123,57.31559855,21.40266022,354,58.47,1.298035867,38.20666097,24.7822374,35.71306576,2591100,1141400,1835
BE,Saanen,de,6818,56.78827253,17.14579055,61.82164858,21.03256087,3240,120.06,4.539018906,51.14516532,35.32939119,8.986424586,2587500,1147500,1515
BE,Guggisberg,de,1508,27.46312147,19.69496021,58.35543767,21.94960212,627,54.91,2.984531392,52.48407643,39.52684258,5.004549591,2591600,1179600,1106
BE,Rüschegg,de,1662,29.0052356,17.20818291,59.38628159,23.4055355,789,57.3,3.019197208,41.55322862,49.70331588,5.72425829,2595300,1180700,1288
BE,Schwarzenburg,de,6831,152.4776786,18.37212707,58.89328063,22.7345923,3066,44.8,7.831325301,62.24899598,27.93395805,1.98572066,2592600,1185200,795
BE,Belp,de,11510,494.8409286,19.39183319,59.93049522,20.67767159,5228,23.26,14.24892704,57.4248927,25.96566524,2.360515022,2604700,1193300,525
BE,Burgistein,de,1096,145.7446809,20.34671533,62.22627737,17.4270073,471,7.52,9.707446809,76.06382979,13.43085106,0.79787234,2604800,1181500,747
BE,Gerzensee,de,1215,155.5697823,20.41152263,61.48148148,18.10699588,520,7.81,8.962868118,67.6056338,19.97439181,3.457106274,2608200,1187600,677
BE,Gurzelen,de,840,185.840708,23.80952381,61.42857143,14.76190476,348,4.52,6.696428571,80.80357143,12.5,0,2607200,1181000,633
BE,Jaberg,de,278,212.2137405,21.94244604,65.4676259,12.58992806,112,1.31,18.75,53.125,23.4375,4.6875,2610000,1185100,562
BE,Kaufdorf,de,1089,528.6407767,23.59963269,59.68778696,16.71258035,437,2.06,19.90291262,64.0776699,14.5631068,1.45631068,2604600,1187500,564
BE,Kehrsatz,de,4305,969.5945946,21.95121951,57.18931475,20.85946574,1812,4.44,21.12359551,54.38202247,22.47191011,2.02247191,2602500,1195400,565
BE,Kirchdorf (BE),de,1843,126.0601915,20.23874118,62.01844818,17.74281063,787,14.62,8.327645051,73.99317406,16.51877133,1.160409556,2608500,1185500,592
BE,Niedermuhlern,de,501,69.00826446,17.76447106,63.87225549,18.36327345,212,7.26,6.258692629,76.21696801,17.52433936,0,2602100,1190000,862
BE,Riggisberg,de,2554,85.58981233,19.61628818,59.04463587,21.33907596,1098,29.84,5.382815112,42.82848546,50.95285858,0.835840856,2603000,1184300,939
BE,Rüeggisberg,de,1791,50.01396258,17.30876605,61.58570631,21.10552764,811,35.81,4.307692308,64.30769231,29.53846154,1.846153846,2600100,1185600,864
BE,Rümligen,de,438,93.99141631,17.12328767,62.32876712,20.54794521,193,4.66,7.872340426,74.68085106,17.0212766,0.425531915,2604500,1186600,784
BE,Seftigen,de,2144,551.1568123,20.89552239,58.20895522,20.89552239,949,3.89,15.81632653,66.07142857,17.34693878,0.765306122,2607700,1181900,585
BE,Toffen,de,2515,515.3688525,17.69383698,58.17097416,24.13518887,1108,4.88,17.0781893,62.75720165,19.75308642,0.411522634,2604000,1189800,560
BE,Uttigen,de,2103,551.9685039,21.30290062,60.00951022,18.68758916,872,3.81,15.07936508,54.4973545,28.57142857,1.851851852,2610400,1182600,551
BE,Wattenwil,de,2936,201.9257221,22.7520436,57.45912807,19.78882834,1249,14.54,7.814661134,40.94052559,49.51590595,1.728907331,2605400,1179900,842
BE,Wald (BE),de,1177,88.4962406,19.37128292,57.7740017,22.85471538,504,13.3,6.165413534,74.58646617,19.2481203,0,2602500,1192300,849
,Thurnen,,1922,323.0252101,20.75962539,58.32466181,20.9157128,814,5.95,13.94957983,79.15966387,6.050420168,0.840336135,2605300,1184700,558
BE,Eggiwil,de,2440,40.46434494,23.27868852,57.00819672,19.71311475,970,60.3,3.502074689,53.65975104,41.16182573,1.676348548,2627300,1191600,957
BE,Langnau im Emmental,de,9380,193.961952,19.88272921,58.86993603,21.24733475,4146,48.36,7.585779248,49.85531211,41.8974783,0.661430343,2626400,1198900,879
BE,Lauperswil,de,2615,123.4072676,19.08221797,60.03824092,20.87954111,1156,21.19,7.510628248,56.11714691,35.5692017,0.803023146,2623300,1202100,790
BE,Röthenbach im Emmental,de,1169,31.76630435,22.24123182,57.39948674,20.35928144,467,36.8,3.260869565,43.64130435,52.5,0.597826087,2623100,1189300,988
BE,Rüderswil,de,2385,138.5822196,20.7966457,60.20964361,18.99371069,1036,17.21,7.329842932,68.29552065,23.50203607,0.872600349,2621600,1203600,708
BE,Schangnau,de,908,24.89035088,22.68722467,58.25991189,19.05286344,381,36.48,2.053669222,53.20372399,35.73384447,9.008762322,2632200,1186300,1114
BE,Signau,de,2660,120.1988251,19.54887218,58.23308271,22.21804511,1170,22.13,7.990970655,55.16930023,35.84650113,0.993227991,2621900,1196600,788
BE,Trub,de,1326,21.39054686,23.45399698,56.56108597,19.98491704,496,61.99,2.306079665,40.57410095,56.03934849,1.080470892,2633600,1199200,1026
BE,Trubschachen,de,1450,92.65175719,19.03448276,56.27586207,24.68965517,586,15.65,4.907584449,50.86042065,42.89356278,1.338432122,2630900,1196900,919
BE,Amsoldingen,de,812,172.3991507,18.96551724,58.00492611,23.02955665,358,4.71,7.446808511,60.21276596,21.91489362,10.42553191,2610900,1175100,641
BE,Blumenstein,de,1246,80.28350515,18.94060995,57.62439807,23.43499197,534,15.52,3.935483871,48.25806452,39.87096774,7.935483871,2606300,1176600,1127
BE,Buchholterberg,de,1527,99.60861057,21.54551408,58.41519319,20.03929273,624,15.33,6.282722513,57.78795812,34.88219895,1.047120419,2619600,1185900,953
BE,Eriz,de,483,22.17630854,19.25465839,57.76397516,22.98136646,218,21.78,2.707664066,45.20422212,45.02065168,7.067462139,2625900,1182000,1228
BE,Fahrni,de,809,121.1077844,21.01359703,59.33250927,19.6538937,334,6.68,5.105105105,67.41741742,26.42642643,1.051051051,2616500,1182500,800
BE,Heiligenschwendi,de,703,126.6666667,18.77667141,56.33001422,24.89331437,347,5.55,7.259528131,49.00181488,43.19419238,0.54446461,2619000,1177600,1037
BE,Heimberg,de,6832,1255.882353,19.64285714,61.47540984,18.88173302,3026,5.44,33.51851852,29.81481481,34.62962963,2.037037037,2612800,1182500,562
BE,Hilterfingen,de,4047,1440.213523,17.46973066,54.33654559,28.19372375,1934,2.81,41.07142857,8.571428571,49.28571429,1.071428571,2616000,1177200,654
BE,Homberg,de,509,78.18740399,27.50491159,56.18860511,16.3064833,197,6.51,4.320987654,63.42592593,31.94444444,0.308641975,2618800,1180500,922
BE,Horrenbach-Buchen,de,235,11.51960784,23.82978723,57.87234043,18.29787234,93,20.4,1.371876531,50.17148457,39.49044586,8.966193043,2624000,1181100,1172
BE,Oberhofen am Thunersee,de,2413,890.4059041,14.87774555,52.00994613,33.11230833,1216,2.71,27.63636364,20,51.27272727,1.090909091,2617600,1175500,722
BE,Oberlangenegg,de,462,50.43668122,23.16017316,55.84415584,20.995671,194,9.16,4.600219058,45.34501643,49.17853231,0.876232202,2623500,1184200,942
BE,Pohlern,de,255,25.83586626,24.31372549,58.03921569,17.64705882,113,9.87,1.921132457,37.20930233,45.29828109,15.57128413,2607800,1174700,1134
BE,Sigriswil,de,4833,87.22252301,13.49058556,55.28657149,31.22284295,2459,55.41,4.698229129,39.32056379,47.12685219,8.854354897,2621100,1174000,1199
BE,Steffisburg,de,15959,1077.582714,18.52246381,58.55630052,22.92123567,7354,14.81,25.63758389,44.89932886,28.38926175,1.073825503,2615000,1180700,662
BE,Teuffenthal (BE),de,174,38.41059603,20.11494253,62.06896552,17.81609195,74,4.53,3.06345733,46.17067834,50.10940919,0.656455142,2620800,1179600,1059
BE,Thierachern,de,2428,322.4435591,22.36408567,57.61943987,20.01647446,1021,7.53,12.35059761,66.66666667,17.1314741,3.85126162,2610200,1177900,621
BE,Thun,de,43734,2027.538248,16.89303517,59.29711437,23.80985046,20836,21.57,49.90723562,28.0148423,20.12987013,1.948051948,2614200,1178400,567
BE,Uebeschi,de,673,152.2624434,24.21991085,57.20653789,18.57355126,270,4.42,7.239819005,89.36651584,2.714932127,0.678733032,2608900,1176300,687
BE,Uetendorf,de,5893,579.4493609,18.41167487,56.86407602,24.72424911,2625,10.17,20.84562439,70.99311701,7.866273353,0.294985251,2610200,1180400,558
BE,Unterlangenegg,de,998,146.7647059,20.94188377,60.82164329,18.23647295,419,6.8,8.651026393,70.6744868,19.79472141,0.879765396,2620000,1182800,854
BE,Wachseldorn,de,235,66.95156695,22.12765957,51.4893617,26.38297872,97,3.51,5.084745763,69.7740113,24.85875706,0.282485876,2622300,1185600,970
BE,Zwieselberg,de,332,134.9593496,28.01204819,55.72289157,16.26506024,124,2.46,9.87654321,62.96296296,26.33744856,0.823045268,2613600,1173000,619
BE,Forst-Längenbühl,de,765,170,21.4379085,61.69934641,16.8627451,338,4.5,8.388520971,67.54966887,20.97130243,3.090507726,2606400,1179200,660
BE,Affoltern im Emmental,de,1101,95.65595135,17.07538601,61.12624886,21.79836512,482,11.51,7.604895105,72.46503497,19.84265734,0.087412587,2622300,1212700,778
BE,Dürrenroth,de,1061,75.08846426,22.52591894,56.36192271,21.11215834,438,14.13,5.547652916,71.12375533,23.04409673,0.284495021,2626800,1215400,750
BE,Eriswil,de,1396,123.1040564,21.70487106,56.01719198,22.27793696,582,11.34,6.460176991,67.43362832,25.92920354,0.17699115,2631300,1214300,830
BE,Huttwil,de,4898,284.1067285,19.90608412,59.35075541,20.74316047,2193,17.24,13.51819757,64.41363374,22.01039861,0.057770075,2631100,1218200,694
BE,Lützelflüh,de,4147,154.3356904,20.20737883,59.2476489,20.54497227,1818,26.87,9.121370067,65.37602383,24.6835443,0.819061802,2618700,1206200,703
BE,Rüegsau,de,3260,216.4674635,19.78527607,58.58895706,21.62576687,1436,15.06,8.649367931,67.46506986,23.02062542,0.864936793,2617900,1208300,713
BE,Sumiswald,de,5045,85.01853724,19.54410307,58.03766105,22.41823588,2254,59.34,5.136409566,47.89491411,46.2108454,0.75783092,2623300,1208600,901
BE,Trachselwald,de,960,60.15037594,22.08333333,57.8125,20.10416667,401,15.96,4.502814259,56.59787367,38.33646029,0.562851782,2622800,1207400,844
BE,Walterswil (BE),de,538,68.36086404,22.11895911,56.50557621,21.37546468,198,7.87,5.044136192,73.39218159,21.56368222,0,2625600,1218000,739
BE,Wyssachen,de,1138,97.34816082,21.17750439,57.73286467,21.08963093,471,11.69,6.73486786,70.41773231,22.50639386,0.341005968,2629400,1214900,776
BE,Attiswil,de,1505,196.7320261,18.20598007,58.20598007,23.58803987,676,7.65,10.96605744,53.13315927,35.24804178,0.652741514,2613300,1233300,556
BE,Berken,de,45,32.37410072,11.11111111,62.22222222,26.66666667,21,1.39,11.42857143,52.85714286,30,5.714285714,2620500,1230500,441
BE,Bettenhausen,de,631,160.1522843,16.00633914,59.27099842,24.72266244,300,3.94,9.848484849,66.41414141,22.97979798,0.757575758,2620900,1224700,481
BE,Farnern,de,202,54.89130435,15.34653465,60.3960396,24.25742574,95,3.68,4.383561644,65.20547945,30.4109589,0,2613900,1235100,917
BE,Graben,de,332,105.0632911,22.89156627,59.63855422,17.46987952,134,3.16,7.255520505,52.68138801,35.96214511,4.100946372,2621300,1229600,454
BE,Heimenhausen,de,1143,195.7191781,19.59755031,62.55468066,17.84776903,500,5.84,11.64383562,52.73972603,34.93150685,0.684931507,2619800,1228800,458
BE,Herzogenbuchsee,de,7200,733.197556,19.86111111,58.81944444,21.31944444,3229,9.82,26.95829095,37.13123093,35.09664293,0.813835198,2620200,1226300,472
BE,Inkwil,de,626,185.2071006,14.69648562,62.93929712,22.36421725,300,3.38,13.31360947,48.81656805,35.50295858,2.366863905,2617600,1227900,472
BE,Niederbipp,de,4899,247.7996965,19.14676465,64.33966116,16.5135742,2094,19.77,13.98390342,46.52917505,39.18511066,0.301810865,2619500,1235100,475
BE,Niederönz,de,1670,598.5663082,20.77844311,57.66467066,21.55688623,729,2.79,16.37010676,52.66903915,30.24911032,0.711743772,2619200,1226300,463
BE,Oberbipp,de,1767,209.112426,20.37351443,64.28975665,15.33672892,767,8.45,13.01775148,46.98224852,39.28994083,0.710059172,2616800,1234400,480
BE,Ochlenberg,de,570,47.02970297,20,56.31578947,23.68421053,244,12.12,4.297520661,62.97520661,32.56198347,0.165289256,2622500,1222100,614
BE,Rumisberg,de,488,94.94163424,18.23770492,59.22131148,22.54098361,220,5.14,8.187134503,50.29239766,40.74074074,0.779727096,2615300,1234800,829
BE,Seeberg,de,1560,92.85714286,19.42307692,61.28205128,19.29487179,681,16.8,6.46884273,58.57566766,34.0652819,0.890207715,2617500,1222000,542
BE,Thörigen,de,1155,253.8461538,21.21212121,61.38528139,17.4025974,519,4.55,11.18421053,51.97368421,36.40350877,0.438596491,2622000,1224800,510
BE,Walliswil bei Niederbipp,de,211,143.537415,15.16587678,59.71563981,25.11848341,103,1.47,16.32653061,53.7414966,20.40816327,9.523809524,2619100,1231700,440
BE,Walliswil bei Wangen,de,608,198.0456026,15.46052632,63.81578947,20.72368421,277,3.07,11.72638436,50.81433225,33.2247557,4.234527687,2618500,1231100,463
BE,Wangen an der Aare,de,2312,442.9118774,18.90138408,62.32698962,18.7716263,1081,5.22,22.3709369,41.49139579,28.10707457,8.030592734,2616400,1231500,421
BE,Wangenried,de,425,146.04811,20.23529412,57.17647059,22.58823529,179,2.91,7.958477509,67.8200692,23.183391,1.038062284,2616500,1229800,478
BE,Wiedlisbach,de,2377,316.9333333,18.8472865,62.97854438,18.17416912,1121,7.5,20.8,48.4,28,2.8,2615800,1233500,457
LU,Doppleschwand,de,782,112.5179856,28.00511509,57.67263427,14.32225064,290,6.95,5.755395684,55.68345324,36.11510791,2.446043166,2646900,1207700,753
LU,Entlebuch,de,3284,57.71528998,22.25943971,59.59196102,18.14859927,1335,56.9,3.686150606,49.552396,42.82955942,3.931893979,2647600,1204800,1001
LU,Flühli,de,1961,18.12887122,21.7236104,60.68332483,17.59306476,725,108.17,2.497918401,44.52770839,38.23665464,14.73771857,2644000,1192600,1364
LU,Hasle (LU),de,1744,43.26469859,22.64908257,59.91972477,17.43119266,671,40.31,3.248202331,49.09496653,39.57351847,8.083312671,2646600,1203400,1116
LU,Romoos,de,666,17.81224926,22.67267267,59.60960961,17.71771772,255,37.39,2.088353414,35.79651941,60.80321285,1.311914324,2644800,1206900,952
LU,Schüpfheim,de,4219,109.9270453,22.89642095,58.87651102,18.22706803,1636,38.38,5.28508201,59.38557667,33.16844572,2.1608956,2644200,1200400,923
LU,Werthenstein,de,2122,134.3037975,23.75117813,61.31008483,14.93873704,827,15.8,8.259212198,58.5133418,30.62261753,2.604828463,2650400,1211600,701
LU,Escholzmatt-Marbach,de,4342,40.80827068,20.95808383,58.19898664,20.84292953,1774,106.4,2.915177732,47.27289825,46.46417153,3.347752492,2637800,1196000,1038
LU,Aesch (LU),de,1246,270.2819957,18.53932584,63.08186196,18.3788122,542,4.61,11.39784946,66.23655914,18.92473118,3.440860215,2660800,1234200,482
LU,Altwis,de,437,149.1467577,27.68878719,59.72540046,12.58581236,151,2.93,7.167235495,62.79863481,29.69283276,0.341296928,2661600,1232200,498
LU,Ballwil,de,2764,315.1653364,24.4934877,59.69609262,15.81041968,1104,8.77,13.25714286,74.62857143,11.77142857,0.342857143,2666900,1222800,495
LU,Emmen,de,30929,1518.360334,19.93598241,62.99912703,17.06489056,13661,20.37,38.12561335,42.05103042,17.61530913,2.208047105,2664800,1214100,441
LU,Ermensee,de,990,173.9894552,22.82828283,62.72727273,14.44444444,378,5.69,8.391608392,54.72027972,36.18881119,0.699300699,2660700,1231000,480
LU,Eschenbach (LU),de,3583,271.2339137,21.4903712,60.61959252,17.89003628,1474,13.21,11.06060606,73.03030303,14.6969697,1.212121212,2666900,1220500,483
LU,Hitzkirch,de,5316,215.5717762,22.53574116,62.2648608,15.19939804,2027,24.66,10.13431013,66.0968661,23.36182336,0.407000407,2662500,1230800,646
LU,Hochdorf,de,9846,1021.369295,21.69408897,60.66422913,17.6416819,3995,9.64,26.15062762,61.92468619,10.46025105,1.464435146,2664500,1224500,492
LU,Hohenrain,de,2415,103.960396,23.68530021,62.27743271,14.03726708,896,23.22,6.086583798,74.41063009,19.07415345,0.428632662,2666700,1225900,581
LU,Inwil,de,2620,253.875969,23.89312977,63.24427481,12.86259542,1058,10.32,12.43926142,69.58211856,15.93780369,2.040816327,2669200,1219500,433
LU,Rain,de,2807,297.9830149,25.82828643,61.48913431,12.68257927,1080,9.42,10.48728814,73.19915254,16.31355932,0,2661900,1220000,567
LU,Römerswil,de,1789,107.7710843,25.48910006,60.87199553,13.63890442,692,16.6,7.913669065,76.07913669,15.52757794,0.479616307,2661200,1224600,633
LU,Rothenburg,de,7617,491.7366043,22.02967047,60.11553105,17.85479848,3027,15.49,17.81794706,65.65526146,16.20400258,0.322788896,2663000,1216600,527
LU,Schongau,de,1039,83.58809332,24.06159769,62.84889317,13.08950914,398,12.43,5.872888174,68.38294449,25.2614642,0.482703138,2662500,1235600,707
LU,Adligenswil,de,5391,771.2446352,21.70283806,55.87089594,22.426266,2211,6.99,23.49570201,50.85959885,23.63896848,2.005730659,2670300,1213700,581
LU,Buchrain,de,6242,1300.416667,22.33258571,63.0727331,14.59468119,2494,4.8,32.77661795,43.21503132,16.49269311,7.51565762,2669000,1216500,420
LU,Dierikon,de,1475,530.5755396,22.03389831,65.96610169,12,606,2.78,17.68953069,57.76173285,22.38267148,2.166064982,2670800,1216700,503
LU,Ebikon,de,13617,1406.714876,19.71799956,62.17228464,18.1097158,5918,9.68,33.43621399,36.11111111,23.45679012,6.995884774,2668600,1215000,457
LU,Gisikon,de,1387,1284.259259,20.11535689,67.98846431,11.8961788,590,1.08,27.27272727,47.27272727,20,5.454545455,2672900,1220000,498
LU,Greppen,de,1118,336.746988,24.68694097,64.22182469,11.09123435,442,3.32,13.17365269,47.90419162,38.32335329,0.598802395,2675300,1212000,652
LU,Honau,de,395,316,22.02531646,68.35443038,9.620253165,147,1.25,12.90322581,66.12903226,19.35483871,1.612903226,2673400,1220700,449
LU,Horw,de,14109,1097.122862,18.56970728,59.39471259,22.03558013,6190,12.86,28.56031128,29.26070039,41.40077821,0.778210117,2666300,1207900,509
LU,Kriens,de,27444,1005.274725,18.72540446,59.89287276,21.38172278,12339,27.3,19.96330275,28.44036697,50.4587156,1.137614679,2663800,1209600,756
LU,Luzern,de,81691,2807.250859,16.12784762,64.4195811,19.45257127,41139,29.1,47.81561748,27.86377709,22.3254214,1.995184039,2666200,1211800,490
LU,Malters,de,7318,256.1428071,21.12599071,63.96556436,14.90844493,3023,28.57,10.97902098,62.97202797,24.40559441,1.643356643,2656700,1209800,575
LU,Meggen,de,7238,995.5983494,17.62917933,56.34153081,26.02928986,3226,7.27,34.06896552,43.86206897,21.93103448,0.137931035,2671000,1211000,530
LU,Meierskappel,de,1460,214.7058824,24.17808219,60.95890411,14.8630137,565,6.8,10.07407407,62.96296296,26.66666667,0.296296296,2676200,1219800,517
LU,Root,de,5041,582.7745665,23.09065662,64.66970839,12.23963499,1995,8.65,20.11560694,48.43930636,26.82080925,4.624277457,2672300,1218700,449
LU,Schwarzenberg,de,1709,43.48600509,22.17671153,61.84903452,15.97425395,684,39.3,3.031074885,36.39836984,54.53387672,6.036678553,2655900,1207600,1027
LU,Udligenswil,de,2280,366.5594855,22.5877193,59.56140351,17.85087719,901,6.22,10.41666667,64.74358974,23.71794872,1.121794872,2673100,1215900,637
LU,Vitznau,de,1379,154.5964126,15.88107324,61.13125453,22.98767223,650,8.92,7.502799552,33.70660694,54.19932811,4.591265398,2679500,1207200,945
LU,Weggis,de,4369,370.5682782,14.99198901,58.80064088,26.20737011,1952,11.79,17.81170483,42.66327396,37.91348601,1.611535199,2675700,1209500,598
